"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"3","3.08","GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","3","9","656","19172","33.33","2.85e-2","2.76e-1","9.74","1.00e+0","2.58e-1","2.87e-3","JUN,TNF,TP53","GO:0045892~negative regulation of DNA-templated transcription"
"3","3.08","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","3","9","1082","19172","33.33","7.10e-2","5.19e-1","5.91","1.00e+0","4.86e-1","1.16e-2","JUN,TNF,TP53","GO:0000122~negative regulation of transcription by RNA polymerase II"
"4","1.98","GOTERM_BP_DIRECT","response to xenobiotic stimulus","5","9","256","19172","55.56","2.08e-6","6.55e-4","41.61","1.31e-3","6.13e-4","4.92e-8","COL18A1,JUN,CASP3,TNF,TP53","GO:0009410~response to xenobiotic stimulus"
"4","1.98","UP_SEQ_FEATURE","COMPBIAS:Polar residues","3","9","5960","20700","33.33","7.20e-1","1.00e+0","1.16","1.00e+0","1.00e+0","5.05e-1","COL18A1,CASP3,TP53","COMPBIAS:Polar residues"
"4","1.98","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","3","9","6665","20700","33.33","7.86e-1","1.00e+0","1.04","1.00e+0","1.00e+0","5.94e-1","COL18A1,CASP3,TP53","COMPBIAS:Basic and acidic residues"
"5","1.65","GOTERM_BP_DIRECT","negative regulation of cell population proliferation","5","9","432","19172","55.56","1.66e-5","2.87e-3","24.66","1.04e-2","2.68e-3","6.64e-7","COL18A1,IL6,JUN,TNF,TP53","GO:0008285~negative regulation of cell population proliferation"
"5","1.65","UP_KW_PTM","Disulfide bond","5","9","4085","14457","55.56","1.64e-1","3.54e-1","1.97","8.83e-1","2.73e-1","7.88e-2","COL18A1,IL6,AKT1,PTGS2,TNF","KW-1015~Disulfide bond"
"5","1.65","UP_KW_CELLULAR_COMPONENT","Secreted","3","9","2237","18225","33.33","2.57e-1","1.00e+0","2.72","9.72e-1","1.00e+0","8.79e-2","COL18A1,IL6,TNF","KW-0964~Secreted"
"5","1.65","GOTERM_CC_DIRECT","extracellular region","3","9","3186","20299","33.33","3.65e-1","1.00e+0","2.12","1.00e+0","1.00e+0","1.56e-1","COL18A1,IL6,TNF","GO:0005576~extracellular region"
"6","1.25","GOTERM_CC_DIRECT","endoplasmic reticulum lumen","4","9","340","20299","44.44","2.45e-4","1.72e-2","26.53","1.70e-2","1.72e-2","9.12e-6","COL18A1,IL6,PTGS2,MAPK3","GO:0005788~endoplasmic reticulum lumen"
"6","1.25","UP_KW_PTM","Disulfide bond","5","9","4085","14457","55.56","1.64e-1","3.54e-1","1.97","8.83e-1","2.73e-1","7.88e-2","COL18A1,IL6,AKT1,PTGS2,TNF","KW-1015~Disulfide bond"
"6","1.25","UP_KW_DOMAIN","Signal","3","6","4443","14674","33.33","4.78e-1","1.00e+0","1.65","9.94e-1","1.00e+0","2.61e-1","COL18A1,IL6,PTGS2","KW-0732~Signal"
"6","1.25","UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","3","9","4421","20700","33.33","5.36e-1","1.00e+0","1.56","1.00e+0","1.00e+0","2.98e-1","COL18A1,IL6,PTGS2","CARBOHYD:N-linked (GlcNAc...) asparagine"

