"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"2","3.54","GOTERM_BP_DIRECT","positive regulation of nitric oxide biosynthetic process","3","9","43","19172","33.33","1.36e-4","9.53e-3","148.62","8.24e-2","8.91e-3","8.75e-7","AKT1,PTGS2,TNF","GO:0045429~positive regulation of nitric oxide biosynthetic process"
"2","3.54","KEGG_PATHWAY","Osteoclast differentiation","4","9","142","9375","44.44","1.80e-4","8.09e-4","29.34","3.26e-2","4.31e-4","5.99e-6","JUN,AKT1,TNF,MAPK3","hsa04380:Osteoclast differentiation"
"2","3.54","KEGG_PATHWAY","Fluid shear stress and atherosclerosis","4","9","142","9375","44.44","1.80e-4","8.09e-4","29.34","3.26e-2","4.31e-4","5.99e-6","JUN,AKT1,TNF,TP53","hsa05418:Fluid shear stress and atherosclerosis"
"2","3.54","KEGG_PATHWAY","Alcoholic liver disease","4","9","144","9375","44.44","1.88e-4","8.23e-4","28.94","3.40e-2","4.38e-4","6.34e-6","IL6,CASP3,AKT1,TNF","hsa04936:Alcoholic liver disease"
"2","3.54","GOTERM_BP_DIRECT","positive regulation of smooth muscle cell proliferation","3","9","51","19172","33.33","1.92e-4","1.21e-2","125.31","1.14e-1","1.13e-2","1.47e-6","IL6,AKT1,TNF","GO:0048661~positive regulation of smooth muscle cell proliferation"
"2","3.54","KEGG_PATHWAY","Breast cancer","4","9","148","9375","44.44","2.04e-4","8.72e-4","28.15","3.68e-2","4.64e-4","7.07e-6","JUN,AKT1,TP53,MAPK3","hsa05224:Breast cancer"
"2","3.54","GOTERM_BP_DIRECT","response to glucocorticoid","3","9","56","19172","33.33","2.32e-4","1.33e-2","114.12","1.36e-1","1.24e-2","1.96e-6","IL6,CASP3,TNF","GO:0051384~response to glucocorticoid"
"2","3.54","KEGG_PATHWAY","Cellular senescence","4","9","157","9375","44.44","2.43e-4","1.01e-3","26.54","4.37e-2","5.40e-4","8.94e-6","IL6,AKT1,TP53,MAPK3","hsa04218:Cellular senescence"
"2","3.54","KEGG_PATHWAY","Pathways of neurodegeneration - multiple diseases","5","9","480","9375","55.56","4.03e-4","1.62e-3","10.85","7.15e-2","8.65e-4","3.66e-5","IL6,CASP3,PTGS2,TNF,MAPK3","hsa05022:Pathways of neurodegeneration - multiple diseases"
"2","3.54","KEGG_PATHWAY","NOD-like receptor signaling pathway","4","9","187","9375","44.44","4.06e-4","1.62e-3","22.28","7.20e-2","8.65e-4","1.79e-5","IL6,JUN,TNF,MAPK3","hsa04621:NOD-like receptor signaling pathway"
"2","3.54","GOTERM_MF_DIRECT","enzyme binding","4","9","416","19319","44.44","5.12e-4","2.25e-2","20.64","4.41e-2","2.25e-2","2.45e-5","JUN,AKT1,PTGS2,TP53","GO:0019899~enzyme binding"
"2","3.54","KEGG_PATHWAY","Viral carcinogenesis","4","9","205","9375","44.44","5.32e-4","2.08e-3","20.33","9.33e-2","1.11e-3","2.57e-5","JUN,CASP3,TP53,MAPK3","hsa05203:Viral carcinogenesis"
"2","3.54","KEGG_PATHWAY","Coronavirus disease - COVID-19","4","9","238","9375","44.44","8.23e-4","3.16e-3","17.51","1.41e-1","1.68e-3","4.62e-5","IL6,JUN,TNF,MAPK3","hsa05171:Coronavirus disease - COVID-19"
"2","3.54","GOTERM_BP_DIRECT","positive regulation of gene expression","4","9","499","19172","44.44","8.90e-4","3.73e-2","17.08","4.29e-1","3.49e-2","5.15e-5","IL6,AKT1,TNF,TP53","GO:0010628~positive regulation of gene expression"
"2","3.54","KEGG_PATHWAY","Legionellosis","3","9","56","9375","33.33","9.59e-4","3.60e-3","55.80","1.62e-1","1.92e-3","1.65e-5","IL6,CASP3,TNF","hsa05134:Legionellosis"
"2","3.54","KEGG_PATHWAY","Endometrial cancer","3","9","59","9375","33.33","1.06e-3","3.92e-3","52.97","1.78e-1","2.09e-3","1.94e-5","AKT1,TP53,MAPK3","hsa05213:Endometrial cancer"
"2","3.54","KEGG_PATHWAY","VEGF signaling pathway","3","9","60","9375","33.33","1.10e-3","3.97e-3","52.08","1.83e-1","2.11e-3","2.04e-5","AKT1,PTGS2,MAPK3","hsa04370:VEGF signaling pathway"
